Bytes,ExecTime
1024,688604915
1024,689059807
1024,689237636
1024,689394825
1024,689596853
1024,689774888
1024,690004056
1024,690190212
1024,690380894
1024,690570334
1024,690785254
1024,691382485
1024,692161861
1024,693031151
1024,693472596
1024,693806918
1024,694778066
1024,695862961
1024,696078877
1024,697067692
1024,698269442
1024,698763350
1024,699021783
1024,699358771
1024,699994068
1024,700208601
1024,700395967
1024,700590782
1024,700783062
1024,701504848
1024,702383564
1024,702807305
1024,703515237
1024,703888146
1024,704466907
1024,704642365
1024,704851644
1024,705722640
1024,706210249
1024,706705783
1024,707292992
1024,707604527
1024,707857077
1024,708052252
1024,708282497
1024,708504334
1024,709506136
1024,709849217
1024,710444831
1024,710679257
1024,710915752
1024,711143270
1024,711377829
1024,711585036
1024,711831289
1024,712023652
1024,713140220
1024,713497363
1024,713995736
1024,714238649
1024,714456489
1024,714655495
1024,714857936
1024,716086733
1024,716551346
1024,717403735
1024,717700826
1024,717935323
1024,718216763
1024,718451597
1024,718658926
1024,718903740
1024,719160192
1024,719376684
1024,719629741
1024,719937164
1024,720198654
1024,720492628
1024,721594384
1024,721830671
1024,722092146
1024,722370029
1024,722642896
1024,722815052
1024,723559851
1024,723760898
1024,723948279
1024,726049842
1024,727312192
1024,727676041
1024,734276766
1024,735858213
1024,736152426
1024,744087497
1024,744385326
1024,744632328
1024,746130303
1024,746333622
1024,746551116
1024,746749292
1024,749352508
1024,752468870
1024,754142909
1024,755109021
1024,755628280
1024,755845702
1024,757170269
1024,758840254
1024,759973470
1024,760175564
1024,761200921
1024,761978953
1024,765868815
1024,766743563
1024,767107211
1024,767449233
1024,767779665
1024,768135471
1024,768481006
1024,768815015
1024,769284877
1024,769731620
1024,770063418
1024,770329495
1024,770586136
1024,770826521
1024,771101690
1024,771374435
1024,771676895
1024,771949531
1024,772269184
1024,772574705
1024,772851923
1024,773147725
1024,776134722
1024,776740390
1024,776930353
1024,777100344
1024,777283102
1024,777446823
1024,777641534
1024,777811336
1024,778202933
1024,778377166
1024,778554683
1024,778718274
1024,778883469
1024,779055496
1024,779215224
1024,779380678
1024,779571114
1024,779739110
1024,779904252
1024,780070582
1024,780259481
1024,780466712
1024,780754176
1024,781568685
1024,782068891
1024,782296866
1024,782448846
1024,782605832
